Maturity,Last,Change,High,Low,Settlement,Volume,timestamp
03/18/2025,0,,0,0,18.25,0,02/07/2024 13:06
VIX,12.77,0.55,12.88,12.88,-,-,02/07/2024 14:00
07/03/2024,0,,0,0,12.75,0,02/07/2024 14:00
07/10/2024,0,,0,0,13.325,0,02/07/2024 14:00
07/17/2024,13.58,0.163,13.63,13.35,13.4175,"9,775",02/07/2024 14:00
07/24/2024,0,,0,0,14.2,0,02/07/2024 14:00
07/31/2024,0,,0,0,14.3,0,02/07/2024 14:00
08/07/2024,0,,0,0,14.3,0,02/07/2024 14:00
08/21/2024,14.52,0.089,14.6,14.37,14.4308,"6,798",02/07/2024 14:00
09/18/2024,15.46,0.102,15.5,15.3,15.3579,"1,741",02/07/2024 14:00
10/16/2024,17.85,0.132,17.9,17.65,17.7177,"2,171",02/07/2024 14:00
11/20/2024,17.15,0.152,17.2,16.95,16.9981,"1,323",02/07/2024 14:00
12/18/2024,17.1,0.178,17.12,16.92,16.9225,302,02/07/2024 14:00
01/22/2025,17.75,0.138,17.76,17.6,17.612,38,02/07/2024 14:00
02/19/2025,18.05,0.075,18.05,17.98,17.975,8,02/07/2024 14:00
03/18/2025,0,,0,0,18.25,0,02/07/2024 14:00
VIX,12.66,0.45,12.88,12.88,-,-,02/07/2024 15:00
07/03/2024,0,,0,0,12.75,0,02/07/2024 15:00
07/10/2024,0,,0,0,13.325,0,02/07/2024 15:00
07/17/2024,13.52,0.103,13.63,13.35,13.4175,"11,259",02/07/2024 15:00
07/24/2024,0,,0,0,14.2,0,02/07/2024 15:00
07/31/2024,0,,0,0,14.3,0,02/07/2024 15:00
08/07/2024,0,,0,0,14.3,0,02/07/2024 15:00
08/21/2024,14.47,0.039,14.6,14.37,14.4308,"8,345",02/07/2024 15:00
09/18/2024,15.41,0.052,15.5,15.3,15.3579,"2,213",02/07/2024 15:00
10/16/2024,17.85,0.132,17.9,17.65,17.7177,"2,276",02/07/2024 15:00
11/20/2024,17.15,0.152,17.2,16.95,16.9981,"1,508",02/07/2024 15:00
12/18/2024,17.07,0.148,17.12,16.92,16.9225,312,02/07/2024 15:00
01/22/2025,17.75,0.138,17.76,17.6,17.612,44,02/07/2024 15:00
02/19/2025,18.05,0.075,18.05,17.98,17.975,8,02/07/2024 15:00
03/18/2025,0,,0,0,18.25,0,02/07/2024 15:00
VIX,12.22,-0.01,12.88,12.88,-,-,02/07/2024 17:00
07/03/2024,0,,0,0,12.75,0,02/07/2024 17:00
07/10/2024,0,,0,0,13.325,0,02/07/2024 17:00
07/17/2024,13.35,-0.068,13.63,13.3,13.4175,"34,191",02/07/2024 17:00
07/24/2024,0,,0,0,14.2,0,02/07/2024 17:00
07/31/2024,0,,0,0,14.3,0,02/07/2024 17:00
08/07/2024,0,,0,0,14.3,0,02/07/2024 17:00
08/21/2024,14.35,-0.081,14.6,14.3,14.4308,"20,497",02/07/2024 17:00
09/18/2024,15.3,-0.058,15.5,15.3,15.3579,"7,219",02/07/2024 17:00
10/16/2024,17.7,-0.018,17.9,17.65,17.7177,"4,167",02/07/2024 17:00
11/20/2024,17.02,0.022,17.2,16.95,16.9981,"2,709",02/07/2024 17:00
12/18/2024,16.98,0.058,17.12,16.92,16.9225,587,02/07/2024 17:00
01/22/2025,17.7,0.088,17.76,17.6,17.612,48,02/07/2024 17:00
02/19/2025,18.05,0.075,18.05,17.98,17.975,23,02/07/2024 17:00
03/18/2025,18.4,0.15,18.4,18.35,18.25,15,02/07/2024 17:00
VIX,11.94,-0.28,12.88,12.88,-,-,02/07/2024 20:00
07/03/2024,0,,0,0,12.75,0,02/07/2024 20:00
07/10/2024,0,,0,0,13.325,0,02/07/2024 20:00
07/17/2024,13.22,-0.198,13.63,13.2,13.4175,"52,686",02/07/2024 20:00
07/24/2024,0,,0,0,14.2,0,02/07/2024 20:00
07/31/2024,0,,0,0,14.3,0,02/07/2024 20:00
08/07/2024,0,,0,0,14.3,0,02/07/2024 20:00
08/21/2024,14.22,-0.211,14.6,14.2,14.4308,"30,300",02/07/2024 20:00
09/18/2024,15.2,-0.158,15.5,15.2,15.3579,"12,708",02/07/2024 20:00
10/16/2024,17.65,-0.068,17.9,17.6,17.7177,"6,426",02/07/2024 20:00
11/20/2024,16.95,-0.048,17.2,16.9,16.9981,"3,876",02/07/2024 20:00
12/18/2024,16.85,-0.073,17.12,16.85,16.9225,"1,474",02/07/2024 20:00
01/22/2025,17.55,-0.062,17.76,17.54,17.612,271,02/07/2024 20:00
02/19/2025,17.9,-0.075,18.05,17.9,17.975,50,02/07/2024 20:00
03/18/2025,18.15,-0.1,18.4,18.15,18.25,18,02/07/2024 20:00
VIX,11.9,-0.33,12.88,12.88,-,-,02/07/2024 21:01
07/03/2024,0,,0,0,12.75,0,02/07/2024 21:01
07/10/2024,0,,0,0,13.325,0,02/07/2024 21:01
07/17/2024,13.21,-0.208,13.63,13.2,13.4175,"57,491",02/07/2024 21:01
07/24/2024,0,,0,0,14.2,0,02/07/2024 21:01
07/31/2024,0,,0,0,14.3,0,02/07/2024 21:01
08/07/2024,0,,0,0,14.3,0,02/07/2024 21:01
08/21/2024,14.25,-0.181,14.6,14.2,14.4308,"33,286",02/07/2024 21:01
09/18/2024,15.23,-0.128,15.5,15.2,15.3579,"14,386",02/07/2024 21:01
10/16/2024,17.61,-0.108,17.9,17.6,17.7177,"7,171",02/07/2024 21:01
11/20/2024,16.88,-0.118,17.2,16.85,16.9981,"5,645",02/07/2024 21:01
12/18/2024,16.82,-0.103,17.12,16.81,16.9225,"1,639",02/07/2024 21:01
01/22/2025,17.47,-0.142,17.76,17.47,17.612,374,02/07/2024 21:01
02/19/2025,17.9,-0.075,18.05,17.9,17.975,50,02/07/2024 21:01
03/18/2025,18.15,-0.1,18.4,18.15,18.25,18,02/07/2024 21:01
VIX,11.94,-0.26,12.88,12.88,-,-,02/07/2024 22:01
07/03/2024,0,-0.475,0,0,12.275,0,02/07/2024 22:01
07/10/2024,0,-0.3,0,0,13.025,0,02/07/2024 22:01
07/17/2024,13.2,-0.006,13.63,13.2,13.206,"74,660",02/07/2024 22:01
07/24/2024,0,-0.2,0,0,14,0,02/07/2024 22:01
07/31/2024,0,-0.25,0,0,14.05,0,02/07/2024 22:01
08/07/2024,0,-0.25,0,0,14.05,0,02/07/2024 22:01
08/21/2024,14.25,-0.046,14.6,14.2,14.296,"45,363",02/07/2024 22:01
09/18/2024,15.25,0.01,15.5,15.2,15.2401,"19,376",02/07/2024 22:01
10/16/2024,17.65,-0.006,17.9,17.6,17.6556,"10,563",02/07/2024 22:01
11/20/2024,16.93,-0.02,17.2,16.85,16.9496,"7,895",02/07/2024 22:01
12/18/2024,16.85,0.021,17.12,16.75,16.829,"2,822",02/07/2024 22:01
01/22/2025,17.45,-0.025,17.76,17.4,17.475,501,02/07/2024 22:01
02/19/2025,17.8,0.025,18.05,17.75,17.775,71,02/07/2024 22:01
03/18/2025,18.1,0,18.4,18.1,18.1,20,02/07/2024 22:01
VIX,12.03,-0.19,12.88,12.88,-,-,02/07/2024 23:00
07/03/2024,0,-0.475,0,0,12.275,0,02/07/2024 23:00
07/10/2024,0,-0.3,0,0,13.025,0,02/07/2024 23:00
07/17/2024,13.23,0.024,13.63,13.2,13.206,"76,728",02/07/2024 23:00
07/24/2024,0,-0.2,0,0,14,0,02/07/2024 23:00
07/31/2024,0,-0.25,0,0,14.05,0,02/07/2024 23:00
08/07/2024,0,-0.25,0,0,14.05,0,02/07/2024 23:00
08/21/2024,14.27,-0.026,14.6,14.2,14.296,"47,163",02/07/2024 23:00
09/18/2024,15.25,0.01,15.5,15.2,15.2401,"20,276",02/07/2024 23:00
10/16/2024,17.62,-0.036,17.9,17.6,17.6556,"10,873",02/07/2024 23:00
11/20/2024,16.95,0,17.2,16.85,16.9496,"8,358",02/07/2024 23:00
12/18/2024,16.85,0.021,17.12,16.75,16.829,"3,111",02/07/2024 23:00
01/22/2025,17.48,0.005,17.76,17.4,17.475,522,02/07/2024 23:00
02/19/2025,17.8,0.025,18.05,17.75,17.775,71,02/07/2024 23:00
03/18/2025,18.1,0,18.4,18.1,18.1,20,02/07/2024 23:00
VIX,12.03,-0.19,12.88,12.88,-,-,03/07/2024 00:00
07/03/2024,0,,0,0,12.275,0,03/07/2024 00:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 00:00
07/17/2024,0,,0,0,13.206,0,03/07/2024 00:00
07/24/2024,0,,0,0,14,0,03/07/2024 00:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 00:00
VIX,12.03,-0.19,12.88,12.88,-,-,03/07/2024 04:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 00:00
07/03/2024,0,,0,0,12.275,0,03/07/2024 04:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 04:00
07/17/2024,13.2,-0.006,13.25,13.15,13.206,833,03/07/2024 04:00
07/24/2024,0,,0,0,14,0,03/07/2024 04:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 04:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 04:00
08/21/2024,14.3,0.004,14.3,14.22,14.296,392,03/07/2024 04:00
09/18/2024,15.2,-0.04,15.26,15.2,15.2401,294,03/07/2024 04:00
10/16/2024,17.62,-0.036,17.63,17.6,17.6556,33,03/07/2024 04:00
11/20/2024,16.92,-0.03,16.95,16.91,16.9496,125,03/07/2024 04:00
12/18/2024,16.82,-0.009,16.82,16.8,16.829,59,03/07/2024 04:00
01/22/2025,17.46,-0.015,17.47,17.46,17.475,3,03/07/2024 04:00
02/19/2025,17.8,0.025,17.8,17.8,17.775,3,03/07/2024 04:00
03/18/2025,0,,0,0,18.1,0,03/07/2024 04:00
VIX,12.03,-0.19,12.88,12.88,-,-,03/07/2024 05:01
07/03/2024,0,,0,0,12.275,0,03/07/2024 05:01
07/10/2024,0,,0,0,13.025,0,03/07/2024 05:01
07/17/2024,13.2,-0.006,13.25,13.15,13.206,"1,196",03/07/2024 05:01
07/24/2024,0,,0,0,14,0,03/07/2024 05:01
07/31/2024,0,,0,0,14.05,0,03/07/2024 05:01
08/07/2024,0,,0,0,14.05,0,03/07/2024 05:01
08/21/2024,14.25,-0.046,14.3,14.22,14.296,469,03/07/2024 05:01
09/18/2024,15.25,0.01,15.26,15.2,15.2401,310,03/07/2024 05:01
10/16/2024,17.63,-0.026,17.63,17.6,17.6556,36,03/07/2024 05:01
11/20/2024,16.92,-0.03,16.95,16.91,16.9496,129,03/07/2024 05:01
12/18/2024,16.81,-0.019,16.82,16.8,16.829,67,03/07/2024 05:01
01/22/2025,17.47,-0.005,17.47,17.46,17.475,10,03/07/2024 05:01
02/19/2025,17.8,0.025,17.8,17.8,17.775,3,03/07/2024 05:01
03/18/2025,0,,0,0,18.1,0,03/07/2024 05:01
VIX,12.03,-0.19,12.88,12.88,-,-,03/07/2024 06:00
07/03/2024,0,,0,0,12.275,0,03/07/2024 06:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 06:00
07/17/2024,13.22,0.014,13.25,13.15,13.206,"1,343",03/07/2024 06:00
07/24/2024,0,,0,0,14,0,03/07/2024 06:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 06:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 06:00
08/21/2024,14.27,-0.026,14.3,14.22,14.296,568,03/07/2024 06:00
09/18/2024,15.25,0.01,15.26,15.2,15.2401,335,03/07/2024 06:00
10/16/2024,17.63,-0.026,17.63,17.6,17.6556,36,03/07/2024 06:00
11/20/2024,16.92,-0.03,16.95,16.91,16.9496,129,03/07/2024 06:00
12/18/2024,16.81,-0.019,16.82,16.8,16.829,67,03/07/2024 06:00
01/22/2025,17.47,-0.005,17.47,17.46,17.475,10,03/07/2024 06:00
02/19/2025,17.8,0.025,17.8,17.8,17.775,3,03/07/2024 06:00
03/18/2025,0,,0,0,18.1,0,03/07/2024 06:00
VIX,12.03,-0.19,12.88,12.88,-,-,03/07/2024 07:00
07/03/2024,0,,0,0,12.275,0,03/07/2024 07:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 07:00
07/17/2024,13.2,-0.006,13.25,13.15,13.206,"1,494",03/07/2024 07:00
07/24/2024,0,,0,0,14,0,03/07/2024 07:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 07:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 07:00
08/21/2024,14.25,-0.046,14.3,14.22,14.296,572,03/07/2024 07:00
09/18/2024,15.25,0.01,15.26,15.2,15.2401,402,03/07/2024 07:00
10/16/2024,17.6,-0.056,17.63,17.6,17.6556,46,03/07/2024 07:00
11/20/2024,16.92,-0.03,16.95,16.91,16.9496,138,03/07/2024 07:00
12/18/2024,16.81,-0.019,16.82,16.8,16.829,86,03/07/2024 07:00
01/22/2025,17.47,-0.005,17.47,17.46,17.475,29,03/07/2024 07:00
02/19/2025,17.8,0.025,17.8,17.8,17.775,3,03/07/2024 07:00
03/18/2025,0,,0,0,18.1,0,03/07/2024 07:00
VIX,12.03,-0.19,12.88,12.88,-,-,03/07/2024 08:00
07/03/2024,0,,0,0,12.275,0,03/07/2024 08:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 08:00
07/17/2024,13.2,-0.006,13.25,13.15,13.206,"2,059",03/07/2024 08:00
07/24/2024,0,,0,0,14,0,03/07/2024 08:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 08:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 08:00
08/21/2024,14.3,0.004,14.3,14.2,14.296,937,03/07/2024 08:00
09/18/2024,15.25,0.01,15.3,15.2,15.2401,427,03/07/2024 08:00
10/16/2024,17.6,-0.056,17.63,17.6,17.6556,48,03/07/2024 08:00
11/20/2024,16.92,-0.03,16.95,16.91,16.9496,138,03/07/2024 08:00
12/18/2024,16.81,-0.019,16.82,16.8,16.829,86,03/07/2024 08:00
01/22/2025,17.47,-0.005,17.47,17.46,17.475,29,03/07/2024 08:00
02/19/2025,17.8,0.025,17.8,17.8,17.775,3,03/07/2024 08:00
03/18/2025,0,,0,0,18.1,0,03/07/2024 08:00
VIX,12.03,-0.19,12.88,12.88,-,-,03/07/2024 09:00
07/03/2024,0,,0,0,12.275,0,03/07/2024 09:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 09:00
07/17/2024,13.2,-0.006,13.25,13.15,13.206,"2,183",03/07/2024 09:00
07/24/2024,0,,0,0,14,0,03/07/2024 09:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 09:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 09:00
08/21/2024,14.25,-0.046,14.3,14.2,14.296,"1,021",03/07/2024 09:00
09/18/2024,15.2,-0.04,15.3,15.2,15.2401,428,03/07/2024 09:00
10/16/2024,17.6,-0.056,17.63,17.6,17.6556,48,03/07/2024 09:00
11/20/2024,16.9,-0.05,16.95,16.9,16.9496,149,03/07/2024 09:00
12/18/2024,16.82,-0.009,16.82,16.8,16.829,96,03/07/2024 09:00
01/22/2025,17.47,-0.005,17.47,17.46,17.475,29,03/07/2024 09:00
02/19/2025,17.8,0.025,17.8,17.8,17.775,3,03/07/2024 09:00
03/18/2025,0,,0,0,18.1,0,03/07/2024 09:00
VIX,12.14,0.11,12.14,12.14,-,-,03/07/2024 10:00
07/03/2024,0,,0,0,12.275,0,03/07/2024 10:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 10:00
07/17/2024,13.22,0.014,13.25,13.14,13.206,"3,279",03/07/2024 10:00
07/24/2024,0,,0,0,14,0,03/07/2024 10:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 10:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 10:00
08/21/2024,14.25,-0.046,14.3,14.2,14.296,"1,457",03/07/2024 10:00
09/18/2024,15.26,0.02,15.3,15.2,15.2401,462,03/07/2024 10:00
10/16/2024,17.6,-0.056,17.65,17.6,17.6556,138,03/07/2024 10:00
11/20/2024,16.92,-0.03,16.95,16.9,16.9496,194,03/07/2024 10:00
12/18/2024,16.81,-0.019,16.82,16.8,16.829,97,03/07/2024 10:00
01/22/2025,17.47,-0.005,17.47,17.46,17.475,30,03/07/2024 10:00
02/19/2025,17.8,0.025,17.8,17.8,17.775,3,03/07/2024 10:00
03/18/2025,0,,0,0,18.1,0,03/07/2024 10:00
VIX,12.13,0.09,12.16,12.16,-,-,03/07/2024 11:01
07/03/2024,0,,0,0,12.275,0,03/07/2024 11:01
07/10/2024,0,,0,0,13.025,0,03/07/2024 11:01
07/17/2024,13.23,0.024,13.25,13.14,13.206,"3,727",03/07/2024 11:01
07/24/2024,0,,0,0,14,0,03/07/2024 11:01
07/31/2024,0,,0,0,14.05,0,03/07/2024 11:01
08/07/2024,0,,0,0,14.05,0,03/07/2024 11:01
08/21/2024,14.27,-0.026,14.3,14.2,14.296,"2,200",03/07/2024 11:01
09/18/2024,15.25,0.01,15.3,15.2,15.2401,594,03/07/2024 11:01
10/16/2024,17.6,-0.056,17.65,17.6,17.6556,198,03/07/2024 11:01
11/20/2024,16.92,-0.03,16.95,16.9,16.9496,208,03/07/2024 11:01
12/18/2024,16.81,-0.019,16.82,16.8,16.829,97,03/07/2024 11:01
01/22/2025,17.47,-0.005,17.47,17.46,17.475,40,03/07/2024 11:01
02/19/2025,17.8,0.025,17.8,17.8,17.775,3,03/07/2024 11:01
03/18/2025,0,,0,0,18.1,0,03/07/2024 11:01
VIX,12.11,0.08,12.16,12.16,-,-,03/07/2024 12:00
07/03/2024,0,,0,0,12.275,0,03/07/2024 12:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 12:00
07/17/2024,13.23,0.024,13.25,13.14,13.206,"4,126",03/07/2024 12:00
07/24/2024,0,,0,0,14,0,03/07/2024 12:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 12:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 12:00
08/21/2024,14.28,-0.016,14.3,14.2,14.296,"2,515",03/07/2024 12:00
09/18/2024,15.26,0.02,15.3,15.2,15.2401,640,03/07/2024 12:00
10/16/2024,17.6,-0.056,17.65,17.6,17.6556,199,03/07/2024 12:00
11/20/2024,16.92,-0.03,16.95,16.9,16.9496,212,03/07/2024 12:00
12/18/2024,16.82,-0.009,16.82,16.8,16.829,99,03/07/2024 12:00
01/22/2025,17.49,0.015,17.5,17.46,17.475,43,03/07/2024 12:00
02/19/2025,17.8,0.025,17.8,17.8,17.775,3,03/07/2024 12:00
03/18/2025,18.16,0.06,18.16,18.14,18.1,3,03/07/2024 12:00
VIX,12.12,0.1,12.16,12.16,-,-,03/07/2024 13:00
07/03/2024,0,,0,0,12.275,0,03/07/2024 13:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 13:00
07/17/2024,13.2,-0.006,13.25,13.14,13.206,"6,390",03/07/2024 13:00
07/24/2024,0,,0,0,14,0,03/07/2024 13:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 13:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 13:00
08/21/2024,14.26,-0.036,14.3,14.2,14.296,"3,726",03/07/2024 13:00
09/18/2024,15.3,0.06,15.3,15.2,15.2401,"1,001",03/07/2024 13:00
10/16/2024,17.63,-0.026,17.65,17.6,17.6556,426,03/07/2024 13:00
11/20/2024,16.95,0,16.95,16.9,16.9496,222,03/07/2024 13:00
12/18/2024,16.82,-0.009,16.82,16.8,16.829,101,03/07/2024 13:00
01/22/2025,17.49,0.015,17.5,17.46,17.475,43,03/07/2024 13:00
02/19/2025,17.8,0.025,17.8,17.8,17.775,3,03/07/2024 13:00
03/18/2025,18.16,0.06,18.16,18.14,18.1,3,03/07/2024 13:00
VIX,12.12,0.1,12.16,12.16,-,-,03/07/2024 14:00
07/03/2024,0,,0,0,12.275,0,03/07/2024 14:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 14:00
07/17/2024,13.2,-0.006,13.25,13.14,13.206,"6,822",03/07/2024 14:00
07/24/2024,0,,0,0,14,0,03/07/2024 14:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 14:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 14:00
08/21/2024,14.25,-0.046,14.3,14.2,14.296,"4,120",03/07/2024 14:00
09/18/2024,15.23,-0.01,15.3,15.2,15.2401,"1,198",03/07/2024 14:00
10/16/2024,17.63,-0.026,17.65,17.6,17.6556,450,03/07/2024 14:00
11/20/2024,16.92,-0.03,16.95,16.9,16.9496,242,03/07/2024 14:00
12/18/2024,16.82,-0.009,16.82,16.8,16.829,120,03/07/2024 14:00
01/22/2025,17.48,0.005,17.5,17.46,17.475,59,03/07/2024 14:00
02/19/2025,17.8,0.025,17.8,17.8,17.775,3,03/07/2024 14:00
03/18/2025,18.16,0.06,18.16,18.14,18.1,3,03/07/2024 14:00
VIX,12.13,0.1,12.17,12.17,-,-,03/07/2024 15:00
07/03/2024,0,,0,0,12.275,0,03/07/2024 15:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 15:00
07/17/2024,13.2,-0.006,13.25,13.14,13.206,"7,580",03/07/2024 15:00
07/24/2024,0,,0,0,14,0,03/07/2024 15:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 15:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 15:00
08/21/2024,14.22,-0.076,14.3,14.2,14.296,"4,808",03/07/2024 15:00
09/18/2024,15.25,0.01,15.3,15.2,15.2401,"1,296",03/07/2024 15:00
10/16/2024,17.61,-0.046,17.65,17.6,17.6556,488,03/07/2024 15:00
11/20/2024,16.92,-0.03,16.95,16.9,16.9496,302,03/07/2024 15:00
12/18/2024,16.83,0.001,16.83,16.8,16.829,175,03/07/2024 15:00
01/22/2025,17.5,0.025,17.51,17.45,17.475,80,03/07/2024 15:00
02/19/2025,17.82,0.045,17.82,17.8,17.775,11,03/07/2024 15:00
03/18/2025,18.16,0.06,18.16,18.14,18.1,3,03/07/2024 15:00
VIX,11.98,-0.01,12.17,12.17,-,-,03/07/2024 16:00
07/03/2024,0,-0.125,0,0,12.15,0,03/07/2024 16:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 16:00
07/17/2024,13.16,-0.046,13.26,13.1,13.206,"19,232",03/07/2024 16:00
07/24/2024,0,,0,0,14,0,03/07/2024 16:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 16:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 16:00
08/21/2024,14.28,-0.016,14.3,14.2,14.296,"13,163",03/07/2024 16:00
09/18/2024,15.27,0.03,15.32,15.2,15.2401,"4,089",03/07/2024 16:00
10/16/2024,17.7,0.044,17.71,17.6,17.6556,"1,388",03/07/2024 16:00
11/20/2024,16.97,0.02,17.03,16.9,16.9496,978,03/07/2024 16:00
12/18/2024,16.85,0.021,16.92,16.8,16.829,460,03/07/2024 16:00
01/22/2025,17.56,0.085,17.56,17.45,17.475,84,03/07/2024 16:00
02/19/2025,17.82,0.045,17.82,17.8,17.775,11,03/07/2024 16:00
03/18/2025,18.16,0.06,18.16,18.14,18.1,3,03/07/2024 16:00
VIX,12.1,0.08,12.17,12.17,-,-,03/07/2024 17:00
07/03/2024,0,-0.125,0,0,12.15,0,03/07/2024 17:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 17:00
07/17/2024,13.2,-0.006,13.26,13.1,13.206,"25,432",03/07/2024 17:00
07/24/2024,0,,0,0,14,0,03/07/2024 17:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 17:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 17:00
08/21/2024,14.3,0.004,14.35,14.2,14.296,"16,763",03/07/2024 17:00
09/18/2024,15.3,0.06,15.35,15.2,15.2401,"5,967",03/07/2024 17:00
10/16/2024,17.75,0.094,17.8,17.6,17.6556,"2,480",03/07/2024 17:00
11/20/2024,17.07,0.12,17.1,16.9,16.9496,"1,471",03/07/2024 17:00
12/18/2024,17,0.171,17,16.8,16.829,811,03/07/2024 17:00
01/22/2025,17.6,0.125,17.6,17.45,17.475,231,03/07/2024 17:00
02/19/2025,17.9,0.125,17.9,17.8,17.775,28,03/07/2024 17:00
03/18/2025,18.16,0.06,18.16,18.14,18.1,3,03/07/2024 17:00
VIX,12.17,0.13,12.23,12.23,-,-,03/07/2024 18:00
07/03/2024,0,-0.125,0,0,12.15,0,03/07/2024 18:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 18:00
07/17/2024,13.28,0.074,13.3,13.1,13.206,"30,793",03/07/2024 18:00
07/24/2024,0,,0,0,14,0,03/07/2024 18:00
07/31/2024,0,,0,0,14.05,0,03/07/2024 18:00
08/07/2024,0,,0,0,14.05,0,03/07/2024 18:00
08/21/2024,14.36,0.064,14.4,14.2,14.296,"22,995",03/07/2024 18:00
09/18/2024,15.32,0.08,15.4,15.2,15.2401,"9,204",03/07/2024 18:00
10/16/2024,17.77,0.114,17.85,17.6,17.6556,"4,090",03/07/2024 18:00
11/20/2024,17.07,0.12,17.13,16.9,16.9496,"2,486",03/07/2024 18:00
12/18/2024,16.96,0.131,17.05,16.8,16.829,"1,111",03/07/2024 18:00
01/22/2025,17.6,0.125,17.66,17.45,17.475,283,03/07/2024 18:00
02/19/2025,17.95,0.175,17.95,17.8,17.775,47,03/07/2024 18:00
03/18/2025,18.25,0.15,18.25,18.14,18.1,5,03/07/2024 18:00
VIX,12.08,0.06,12.23,12.23,-,-,03/07/2024 19:00
07/03/2024,0,-0.125,0,0,12.15,0,03/07/2024 19:00
07/10/2024,0,,0,0,13.025,0,03/07/2024 19:00
07/17/2024,13.2,-0.006,13.3,13.1,13.206,"44,380",03/07/2024 19:00
07/24/2024,0,,0,0,14,0,03/07/2024 19:00
