Future Month,Last,Timestamp
Jan,17.6,2024-07-14 07:01
Feb,17.93,2024-07-14 07:01
VIX,12.46,2024-07-14 07:01
Jul,12.85,2024-07-14 09:03
Aug,13.96,2024-07-14 09:03
Sep,15.0,2024-07-14 09:03
Oct,17.44,2024-07-14 09:03
Nov,17.0,2024-07-14 09:03
Dec,16.77,2024-07-14 09:03
Jan,17.6,2024-07-14 09:03
Feb,17.93,2024-07-14 09:03
VIX,12.46,2024-07-14 09:03
Jul,12.85,2024-07-14 11:01
Aug,13.96,2024-07-14 11:01
Sep,15.0,2024-07-14 11:01
Oct,17.44,2024-07-14 11:01
Nov,17.0,2024-07-14 11:01
Dec,16.77,2024-07-14 11:01
Jan,17.6,2024-07-14 11:01
Feb,17.93,2024-07-14 11:01
VIX,12.46,2024-07-14 11:01
Jul,12.85,2024-07-14 13:03
Aug,13.96,2024-07-14 13:03
Sep,15.0,2024-07-14 13:03
Oct,17.44,2024-07-14 13:03
Nov,17.0,2024-07-14 13:03
Dec,16.77,2024-07-14 13:03
Jan,17.6,2024-07-14 13:03
Feb,17.93,2024-07-14 13:03
VIX,12.46,2024-07-14 13:03
Jul,12.85,2024-07-14 19:02
Aug,13.96,2024-07-14 19:02
Sep,15.0,2024-07-14 19:02
Oct,17.44,2024-07-14 19:02
Nov,17.0,2024-07-14 19:02
Dec,16.77,2024-07-14 19:02
Jan,17.6,2024-07-14 19:02
Feb,17.93,2024-07-14 19:02
VIX,12.46,2024-07-14 19:02
Jul,12.85,2024-07-14 20:03
Aug,13.96,2024-07-14 20:03
Sep,15.0,2024-07-14 20:03
Oct,17.44,2024-07-14 20:03
Nov,17.0,2024-07-14 20:03
Dec,16.77,2024-07-14 20:03
Jan,17.6,2024-07-14 20:03
Feb,17.93,2024-07-14 20:03
VIX,12.46,2024-07-14 20:03
Jul,12.85,2024-07-14 22:00
Aug,13.96,2024-07-14 22:00
Sep,15.0,2024-07-14 22:00
Oct,17.44,2024-07-14 22:00
Nov,17.0,2024-07-14 22:00
Dec,16.77,2024-07-14 22:00
Jan,17.6,2024-07-14 22:00
Feb,17.93,2024-07-14 22:00
VIX,12.46,2024-07-14 22:00
Jul,12.85,2024-07-14 23:01
Aug,13.96,2024-07-14 23:01
Sep,15.0,2024-07-14 23:01
Oct,17.44,2024-07-14 23:01
Nov,17.0,2024-07-14 23:01
Dec,16.77,2024-07-14 23:01
Jan,17.6,2024-07-14 23:01
Feb,17.93,2024-07-14 23:01
VIX,12.46,2024-07-14 23:01
Jul,12.85,2024-07-15 00:01
Aug,13.96,2024-07-15 00:01
Sep,15.0,2024-07-15 00:01
Oct,17.44,2024-07-15 00:01
Nov,17.0,2024-07-15 00:01
Dec,16.77,2024-07-15 00:01
Jan,17.6,2024-07-15 00:01
Feb,17.93,2024-07-15 00:01
VIX,12.46,2024-07-15 00:01
Jul,12.8,2024-07-15 02:01
Aug,13.9,2024-07-15 02:01
Sep,14.88,2024-07-15 02:01
Oct,17.32,2024-07-15 02:01
Nov,16.96,2024-07-15 02:01
Dec,16.72,2024-07-15 02:01
Jan,17.48,2024-07-15 02:01
Feb,17.93,2024-07-15 02:01
VIX,12.46,2024-07-15 02:01
Jul,12.8,2024-07-15 03:01
Aug,13.82,2024-07-15 03:01
Sep,14.86,2024-07-15 03:01
Oct,17.27,2024-07-15 03:01
Nov,16.92,2024-07-15 03:01
Dec,16.7,2024-07-15 03:01
Jan,17.46,2024-07-15 03:01
Feb,17.93,2024-07-15 03:01
VIX,12.46,2024-07-15 03:01
Jul,12.8,2024-07-15 04:01
Aug,13.85,2024-07-15 04:01
Sep,14.88,2024-07-15 04:01
Oct,17.27,2024-07-15 04:01
Nov,16.92,2024-07-15 04:01
Dec,16.69,2024-07-15 04:01
Jan,17.46,2024-07-15 04:01
Feb,17.93,2024-07-15 04:01
VIX,12.46,2024-07-15 04:01
Jul,12.83,2024-07-15 05:02
Aug,13.9,2024-07-15 05:02
Sep,14.91,2024-07-15 05:02
Oct,17.33,2024-07-15 05:02
Nov,16.97,2024-07-15 05:02
Dec,16.7,2024-07-15 05:02
Jan,17.46,2024-07-15 05:02
Feb,17.93,2024-07-15 05:02
VIX,12.46,2024-07-15 05:02
Jul,12.85,2024-07-15 06:01
Aug,13.9,2024-07-15 06:01
Sep,14.92,2024-07-15 06:01
Oct,17.34,2024-07-15 06:01
Nov,16.97,2024-07-15 06:01
Dec,16.71,2024-07-15 06:01
Jan,17.48,2024-07-15 06:01
Feb,17.93,2024-07-15 06:01
VIX,12.46,2024-07-15 06:01
Jul,12.82,2024-07-15 07:01
Aug,13.9,2024-07-15 07:01
Sep,14.93,2024-07-15 07:01
Oct,17.34,2024-07-15 07:01
Nov,16.97,2024-07-15 07:01
Dec,16.72,2024-07-15 07:01
Jan,17.47,2024-07-15 07:01
Feb,17.93,2024-07-15 07:01
VIX,12.46,2024-07-15 07:01
Jul,12.72,2024-07-15 08:01
Aug,13.85,2024-07-15 08:01
Sep,14.85,2024-07-15 08:01
Oct,17.3,2024-07-15 08:01
Nov,16.95,2024-07-15 08:01
Dec,16.66,2024-07-15 08:01
Jan,17.45,2024-07-15 08:01
Feb,17.81,2024-07-15 08:01
VIX,12.46,2024-07-15 08:01
Jul,12.8,2024-07-15 10:04
Aug,13.9,2024-07-15 10:04
Sep,14.89,2024-07-15 10:04
Oct,17.26,2024-07-15 10:04
Nov,16.92,2024-07-15 10:04
Dec,16.66,2024-07-15 10:04
Jan,17.42,2024-07-15 10:04
Feb,17.81,2024-07-15 10:04
VIX,12.79,2024-07-15 10:04
Jul,12.83,2024-07-15 11:01
Aug,13.9,2024-07-15 11:01
Sep,14.88,2024-07-15 11:01
Oct,17.27,2024-07-15 11:01
Nov,16.9,2024-07-15 11:01
Dec,16.65,2024-07-15 11:01
Jan,17.42,2024-07-15 11:01
Feb,17.81,2024-07-15 11:01
VIX,12.77,2024-07-15 11:01
Jul,13.03,2024-07-15 18:23
Aug,14.15,2024-07-15 18:23
Sep,15.17,2024-07-15 18:23
Oct,17.47,2024-07-15 18:23
Nov,17.12,2024-07-15 18:23
Dec,16.82,2024-07-15 18:23
Jan,17.57,2024-07-15 18:23
Feb,17.82,2024-07-15 18:23
VIX,13.07,2024-07-15 18:23
Jul,13.15,2024-07-15 20:01
Aug,14.21,2024-07-15 20:01
Sep,15.23,2024-07-15 20:01
Oct,17.51,2024-07-15 20:01
Nov,17.15,2024-07-15 20:01
Dec,16.86,2024-07-15 20:01
Jan,17.58,2024-07-15 20:01
Feb,17.95,2024-07-15 20:01
VIX,13.19,2024-07-15 20:01
Jul,12.96,2024-07-15 21:01
Aug,14.13,2024-07-15 21:01
Sep,15.19,2024-07-15 21:01
Oct,17.49,2024-07-15 21:01
Nov,17.17,2024-07-15 21:01
Dec,16.87,2024-07-15 21:01
Jan,17.6,2024-07-15 21:01
Feb,17.92,2024-07-15 21:01
VIX,12.98,2024-07-15 21:01
Jul,13.13,2024-07-15 23:01
Aug,14.25,2024-07-15 23:01
Sep,15.26,2024-07-15 23:01
Oct,17.57,2024-07-15 23:01
Nov,17.27,2024-07-15 23:01
Dec,16.97,2024-07-15 23:01
Jan,17.69,2024-07-15 23:01
Feb,17.94,2024-07-15 23:01
VIX,13.12,2024-07-15 23:01
Jul,13.14,2024-07-16 00:01
Aug,14.25,2024-07-16 00:01
Sep,15.28,2024-07-16 00:01
Oct,17.55,2024-07-16 00:01
Nov,17.27,2024-07-16 00:01
Dec,16.97,2024-07-16 00:01
Jan,17.67,2024-07-16 00:01
Feb,17.94,2024-07-16 00:01
VIX,13.12,2024-07-16 00:01
Jul,13.21,2024-07-16 01:01
Aug,14.25,2024-07-16 01:01
Sep,15.27,2024-07-16 01:01
Oct,17.56,2024-07-16 01:01
Nov,17.3,2024-07-16 01:01
Dec,16.97,2024-07-16 01:01
Jan,17.66,2024-07-16 01:01
Feb,17.94,2024-07-16 01:01
VIX,13.12,2024-07-16 01:01
Jul,13.38,2024-07-16 02:01
Aug,14.27,2024-07-16 02:01
Sep,15.31,2024-07-16 02:01
Oct,17.6,2024-07-16 02:01
Nov,17.33,2024-07-16 02:01
Dec,17.0,2024-07-16 02:01
Jan,17.66,2024-07-16 02:01
Feb,17.94,2024-07-16 02:01
VIX,13.12,2024-07-16 02:01
Jul,13.33,2024-07-16 03:01
Aug,14.22,2024-07-16 03:01
Sep,15.2,2024-07-16 03:01
Oct,17.5,2024-07-16 03:01
Nov,17.28,2024-07-16 03:01
Dec,16.95,2024-07-16 03:01
Jan,17.65,2024-07-16 03:01
Feb,17.94,2024-07-16 03:01
VIX,13.12,2024-07-16 03:01
Jul,13.3,2024-07-16 04:01
Aug,14.21,2024-07-16 04:01
Sep,15.2,2024-07-16 04:01
Oct,17.5,2024-07-16 04:01
Nov,17.25,2024-07-16 04:01
Dec,16.95,2024-07-16 04:01
Jan,17.65,2024-07-16 04:01
Feb,17.94,2024-07-16 04:01
VIX,13.12,2024-07-16 04:01
Jul,13.27,2024-07-16 06:01
Aug,14.23,2024-07-16 06:01
Sep,15.22,2024-07-16 06:01
Oct,17.5,2024-07-16 06:01
Nov,17.25,2024-07-16 06:01
Dec,16.95,2024-07-16 06:01
Jan,17.65,2024-07-16 06:01
Feb,17.94,2024-07-16 06:01
VIX,13.12,2024-07-16 06:01
Jul,13.27,2024-07-16 07:01
Aug,14.22,2024-07-16 07:01
Sep,15.23,2024-07-16 07:01
Oct,17.53,2024-07-16 07:01
Nov,17.27,2024-07-16 07:01
Dec,16.95,2024-07-16 07:01
Jan,17.65,2024-07-16 07:01
Feb,17.94,2024-07-16 07:01
VIX,13.12,2024-07-16 07:01
Jul,13.26,2024-07-16 08:01
Aug,14.21,2024-07-16 08:01
Sep,15.22,2024-07-16 08:01
Oct,17.52,2024-07-16 08:01
Nov,17.25,2024-07-16 08:01
Dec,16.9,2024-07-16 08:01
Jan,17.65,2024-07-16 08:01
Feb,17.94,2024-07-16 08:01
VIX,13.12,2024-07-16 08:01
Jul,13.36,2024-07-16 09:03
Aug,14.35,2024-07-16 09:03
Sep,15.32,2024-07-16 09:03
Oct,17.6,2024-07-16 09:03
Nov,17.35,2024-07-16 09:03
Dec,17.0,2024-07-16 09:03
Jan,17.7,2024-07-16 09:03
Feb,17.95,2024-07-16 09:03
VIX,13.12,2024-07-16 09:03
Jul,13.31,2024-07-16 10:01
Aug,14.27,2024-07-16 10:01
Sep,15.29,2024-07-16 10:01
Oct,17.55,2024-07-16 10:01
Nov,17.3,2024-07-16 10:01
Dec,16.95,2024-07-16 10:01
Jan,17.65,2024-07-16 10:01
Feb,17.9,2024-07-16 10:01
VIX,13.37,2024-07-16 10:01
Jul,13.32,2024-07-16 11:01
Aug,14.27,2024-07-16 11:01
Sep,15.27,2024-07-16 11:01
Oct,17.52,2024-07-16 11:01
Nov,17.3,2024-07-16 11:01
Dec,16.98,2024-07-16 11:01
Jan,17.65,2024-07-16 11:01
Feb,17.9,2024-07-16 11:01
VIX,13.27,2024-07-16 11:01
Jul,13.33,2024-07-16 12:01
Aug,14.27,2024-07-16 12:01
Sep,15.27,2024-07-16 12:01
Oct,17.53,2024-07-16 12:01
Nov,17.25,2024-07-16 12:01
Dec,16.92,2024-07-16 12:01
Jan,17.62,2024-07-16 12:01
Feb,17.9,2024-07-16 12:01
VIX,13.3,2024-07-16 12:01
Jul,13.26,2024-07-16 14:01
Aug,14.27,2024-07-16 14:01
Sep,15.26,2024-07-16 14:01
Oct,17.52,2024-07-16 14:01
Nov,17.27,2024-07-16 14:01
Dec,16.92,2024-07-16 14:01
Jan,17.62,2024-07-16 14:01
Feb,17.9,2024-07-16 14:01
VIX,13.26,2024-07-16 14:01
Jul,13.07,2024-07-16 15:02
Aug,14.16,2024-07-16 15:02
Sep,15.22,2024-07-16 15:02
Oct,17.52,2024-07-16 15:02
Nov,17.27,2024-07-16 15:02
Dec,16.92,2024-07-16 15:02
Jan,17.6,2024-07-16 15:02
Feb,17.8,2024-07-16 15:02
VIX,13.13,2024-07-16 15:02
Jul,13.01,2024-07-16 16:01
Aug,14.17,2024-07-16 16:01
Sep,15.23,2024-07-16 16:01
Oct,17.54,2024-07-16 16:01
Nov,17.27,2024-07-16 16:01
Dec,16.97,2024-07-16 16:01
Jan,17.7,2024-07-16 16:01
Feb,17.8,2024-07-16 16:01
VIX,13.08,2024-07-16 16:01
Jul,13.0,2024-07-16 17:01
Aug,14.15,2024-07-16 17:01
Sep,15.23,2024-07-16 17:01
Oct,17.53,2024-07-16 17:01
Nov,17.22,2024-07-16 17:01
Dec,16.97,2024-07-16 17:01
Jan,17.7,2024-07-16 17:01
Feb,17.93,2024-07-16 17:01
VIX,13.08,2024-07-16 17:01
Jul,13.11,2024-07-16 19:01
Aug,14.17,2024-07-16 19:01
Sep,15.27,2024-07-16 19:01
Oct,17.57,2024-07-16 19:01
Nov,17.27,2024-07-16 19:01
Dec,16.98,2024-07-16 19:01
Jan,17.74,2024-07-16 19:01
Feb,18.06,2024-07-16 19:01
VIX,13.07,2024-07-16 19:01
Jul,13.11,2024-07-16 20:01
Aug,14.18,2024-07-16 20:01
Sep,15.3,2024-07-16 20:01
Oct,17.57,2024-07-16 20:01
Nov,17.3,2024-07-16 20:01
Dec,17.05,2024-07-16 20:01
Jan,17.76,2024-07-16 20:01
Feb,18.1,2024-07-16 20:01
VIX,13.06,2024-07-16 20:01
Jul,13.18,2024-07-16 21:01
Aug,14.25,2024-07-16 21:01
Sep,15.34,2024-07-16 21:01
Oct,17.58,2024-07-16 21:01
Nov,17.31,2024-07-16 21:01
Dec,17.05,2024-07-16 21:01
Jan,17.76,2024-07-16 21:01
Feb,18.12,2024-07-16 21:01
VIX,13.15,2024-07-16 21:01
Jul,13.23,2024-07-16 22:01
Aug,14.31,2024-07-16 22:01
Sep,15.43,2024-07-16 22:01
Oct,17.59,2024-07-16 22:01
Nov,17.32,2024-07-16 22:01
Dec,17.07,2024-07-16 22:01
Jan,17.75,2024-07-16 22:01
Feb,18.13,2024-07-16 22:01
VIX,13.28,2024-07-16 22:01
Jul,13.11,2024-07-16 23:01
Aug,14.25,2024-07-16 23:01
Sep,15.45,2024-07-16 23:01
Oct,17.55,2024-07-16 23:01
Nov,17.32,2024-07-16 23:01
Dec,17.05,2024-07-16 23:01
Jan,17.75,2024-07-16 23:01
Feb,18.15,2024-07-16 23:01
VIX,13.19,2024-07-16 23:01
Jul,13.09,2024-07-17 00:01
Aug,14.26,2024-07-17 00:01
Sep,15.41,2024-07-17 00:01
Oct,17.57,2024-07-17 00:01
Nov,17.3,2024-07-17 00:01
Dec,17.06,2024-07-17 00:01
Jan,17.75,2024-07-17 00:01
Feb,18.15,2024-07-17 00:01
VIX,13.19,2024-07-17 00:01
Jul,13.07,2024-07-17 01:00
Aug,14.22,2024-07-17 01:00
Sep,15.3,2024-07-17 01:00
Oct,17.4,2024-07-17 01:00
Nov,17.2,2024-07-17 01:00
Dec,16.97,2024-07-17 01:00
Jan,17.67,2024-07-17 01:00
Feb,18.02,2024-07-17 01:00
VIX,13.19,2024-07-17 01:00
Jul,13.04,2024-07-17 02:01
Aug,14.2,2024-07-17 02:01
Sep,15.32,2024-07-17 02:01
Oct,17.43,2024-07-17 02:01
Nov,17.22,2024-07-17 02:01
Dec,16.98,2024-07-17 02:01
Jan,17.67,2024-07-17 02:01
Feb,18.02,2024-07-17 02:01
VIX,13.19,2024-07-17 02:01
Jul,13.15,2024-07-17 03:01
Aug,14.33,2024-07-17 03:01
Sep,15.38,2024-07-17 03:01
Oct,17.5,2024-07-17 03:01
Nov,17.25,2024-07-17 03:01
Dec,17.05,2024-07-17 03:01
Jan,17.7,2024-07-17 03:01
Feb,18.05,2024-07-17 03:01
VIX,13.19,2024-07-17 03:01
Jul,13.15,2024-07-17 04:01
Aug,14.28,2024-07-17 04:01
Sep,15.4,2024-07-17 04:01
Oct,17.46,2024-07-17 04:01
Nov,17.2,2024-07-17 04:01
Dec,17.05,2024-07-17 04:01
Jan,17.7,2024-07-17 04:01
Feb,18.05,2024-07-17 04:01
VIX,13.19,2024-07-17 04:01
Jul,13.07,2024-07-17 06:01
Aug,14.25,2024-07-17 06:01
Sep,15.35,2024-07-17 06:01
Oct,17.45,2024-07-17 06:01
Nov,17.22,2024-07-17 06:01
Dec,17.02,2024-07-17 06:01
Jan,17.72,2024-07-17 06:01
Feb,18.05,2024-07-17 06:01
VIX,13.19,2024-07-17 06:01
Aug,14.25,2024-07-17 07:01
Sep,15.35,2024-07-17 07:01
Oct,17.45,2024-07-17 07:01
Nov,17.22,2024-07-17 07:01
Dec,17.02,2024-07-17 07:01
Jan,17.72,2024-07-17 07:01
Feb,18.05,2024-07-17 07:01
Mar,18.35,2024-07-17 07:01
VIX,13.19,2024-07-17 07:01
Aug,14.3,2024-07-17 08:00
Sep,15.35,2024-07-17 08:00
Oct,17.47,2024-07-17 08:00
Nov,17.22,2024-07-17 08:00
Dec,17.0,2024-07-17 08:00
Jan,17.7,2024-07-17 08:00
Feb,18.05,2024-07-17 08:00
Mar,18.35,2024-07-17 08:00
VIX,13.19,2024-07-17 08:00
Aug,14.55,2024-07-17 10:01
Sep,15.55,2024-07-17 10:01
Oct,17.61,2024-07-17 10:01
Nov,17.36,2024-07-17 10:01
Dec,17.15,2024-07-17 10:01
Jan,17.8,2024-07-17 10:01
Feb,18.11,2024-07-17 10:01
Mar,18.35,2024-07-17 10:01
VIX,13.76,2024-07-17 10:01
Aug,14.5,2024-07-17 11:01
Sep,15.58,2024-07-17 11:01
Oct,17.66,2024-07-17 11:01
Nov,17.42,2024-07-17 11:01
Dec,17.25,2024-07-17 11:01
Jan,17.9,2024-07-17 11:01
Feb,18.2,2024-07-17 11:01
Mar,18.5,2024-07-17 11:01
VIX,13.6,2024-07-17 11:01
Aug,14.5,2024-07-17 12:03
Sep,15.59,2024-07-17 12:03
Oct,17.66,2024-07-17 12:03
Nov,17.44,2024-07-17 12:03
Dec,17.21,2024-07-17 12:03
Jan,17.87,2024-07-17 12:03
Feb,18.2,2024-07-17 12:03
Mar,18.5,2024-07-17 12:03
VIX,13.63,2024-07-17 12:03
Aug,14.66,2024-07-17 15:02
Sep,15.7,2024-07-17 15:02
Oct,17.83,2024-07-17 15:02
Nov,17.58,2024-07-17 15:02
Dec,17.35,2024-07-17 15:02
Jan,17.97,2024-07-17 15:02
Feb,18.33,2024-07-17 15:02
Mar,18.63,2024-07-17 15:02
VIX,14.02,2024-07-17 15:02
Aug,14.55,2024-07-17 16:01
Sep,15.62,2024-07-17 16:01
Oct,17.76,2024-07-17 16:01
Nov,17.55,2024-07-17 16:01
Dec,17.31,2024-07-17 16:01
Jan,18.02,2024-07-17 16:01
Feb,18.35,2024-07-17 16:01
Mar,18.65,2024-07-17 16:01
VIX,13.91,2024-07-17 16:01
Aug,14.95,2024-07-17 18:01
Sep,15.95,2024-07-17 18:01
Oct,17.98,2024-07-17 18:01
Nov,17.68,2024-07-17 18:01
Dec,17.5,2024-07-17 18:01
Jan,18.11,2024-07-17 18:01
Feb,18.45,2024-07-17 18:01
Mar,18.7,2024-07-17 18:01
VIX,14.36,2024-07-17 18:01
Aug,14.91,2024-07-17 19:01
Sep,15.93,2024-07-17 19:01
Oct,17.95,2024-07-17 19:01
Nov,17.67,2024-07-17 19:01
Dec,17.43,2024-07-17 19:01
Jan,18.1,2024-07-17 19:01
Feb,18.41,2024-07-17 19:01
Mar,18.69,2024-07-17 19:01
VIX,14.67,2024-07-17 19:01
Aug,14.9,2024-07-17 20:04
Sep,15.92,2024-07-17 20:04
Oct,17.92,2024-07-17 20:04
Nov,17.62,2024-07-17 20:04
Dec,17.43,2024-07-17 20:04
Jan,18.07,2024-07-17 20:04
Feb,18.43,2024-07-17 20:04
Mar,18.69,2024-07-17 20:04
VIX,14.78,2024-07-17 20:04
Aug,14.8,2024-07-17 21:01
Sep,15.76,2024-07-17 21:01
Oct,17.78,2024-07-17 21:01
Nov,17.47,2024-07-17 21:01
Dec,17.28,2024-07-17 21:01
Jan,17.95,2024-07-17 21:01
